Date,Confirmed,Recovered,Deaths
2020-03-01,3,0,0
2020-03-05,29,3,0
2020-03-10,62,4,1
2020-03-15,114,13,2
2020-03-20,258,23,4
2020-03-25,657,45,12
2020-04-01,1834,148,41
2020-04-05,3082,229,86
2020-04-10,7447,643,239
2020-04-15,12380,1489,414
2020-04-20,17615,2854,559
2020-04-25,24530,5498,780
2020-05-01,35770,9065,1154
2020-05-05,49391,14183,1694
2020-05-10,67152,20686,2215
2020-05-15,85784,30258,2752
2020-05-20,112359,45300,3435
2020-05-25,144950,60215,4172
2020-06-01,190535,91852,5394
2020-06-05,246622,123848,6964
2020-06-10,287155,140928,8107
2020-06-15,332424,169798,9520
2020-06-20,395048,213831,12573
2020-06-25,456183,258685,14195
2020-07-01,585481,344978,17400
2020-07-05,673904,409083,19268
2020-07-10,793802,496624,21604
2020-07-15,936181,592032,24309
2020-07-20,1118206,700087,27497
2020-07-25,1385635,885576,32060
2020-08-01,1695988,1094374,36445
