Date,Open,High,Low,Close,Volume
2023-01-02,1700,1725,1690,1718,1200000
2023-01-03,1718,1730,1705,1722,1350000
2023-01-04,1722,1740,1710,1735,1420000
2023-01-05,1735,1755,1720,1748,1600000
2023-01-06,1748,1760,1735,1752,1580000
2023-01-09,1752,1768,1740,1760,1650000
2023-01-10,1760,1775,1748,1755,1700000
2023-01-11,1755,1762,1730,1740,1800000
2023-01-12,1740,1750,1725,1732,1750000
2023-01-13,1732,1745,1715,1720,1900000
2023-01-16,1720,1738,1708,1730,1600000
2023-01-17,1730,1745,1718,1742,1550000
2023-01-18,1742,1760,1735,1758,1620000
2023-01-19,1758,1770,1748,1765,1680000
2023-01-20,1765,1780,1755,1775,1720000
2023-01-23,1775,1790,1765,1788,1800000
2023-01-24,1788,1800,1778,1795,1850000
2023-01-25,1795,1815,1785,1808,1900000
2023-01-26,1808,1820,1798,1812,2000000
2023-01-27,1812,1830,1805,1825,2100000
