Date,MaxTemp,MinTemp,AvgTemp,Rainfall,Weather
2023-01-01,28,15,21.5,0,Clear
2023-01-02,29,16,22.5,0,Clear
2023-01-03,30,17,23.5,2,Cloudy
2023-02-01,32,18,25.0,0,Clear
2023-02-02,33,19,26.0,1,Clear
2023-02-03,34,20,27.0,5,Cloudy
2023-03-01,36,22,29.0,0,Clear
2023-03-02,37,23,30.0,0,Clear
2023-03-03,38,24,31.0,3,Cloudy
2023-04-01,40,26,33.0,0,Hot
2023-04-02,41,27,34.0,0,Hot
2023-04-03,42,28,35.0,1,Hot
2023-05-01,44,30,37.0,2,Heatwave
2023-05-02,45,31,38.0,0,Heatwave
2023-05-03,46,32,39.0,0,Heatwave
2023-06-01,35,27,31.0,85,Rainy
2023-06-02,34,26,30.0,120,Rainy
2023-06-03,33,25,29.0,95,Rainy
2023-07-01,32,24,28.0,150,Heavy Rain
2023-07-02,31,23,27.0,180,Heavy Rain
2023-07-03,30,22,26.0,200,Heavy Rain
2023-08-01,31,23,27.0,140,Rainy
2023-08-02,32,24,28.0,130,Rainy
2023-08-03,33,25,29.0,110,Rainy
2023-09-01,34,24,29.0,60,Cloudy
2023-09-02,33,23,28.0,40,Cloudy
2023-09-03,32,22,27.0,30,Cloudy
2023-10-01,30,20,25.0,10,Clear
2023-10-02,29,19,24.0,5,Clear
2023-10-03,28,18,23.0,0,Clear
2023-11-01,27,17,22.0,0,Clear
2023-11-02,26,16,21.0,0,Clear
2023-11-03,25,15,20.0,0,Clear
2023-12-01,24,14,19.0,0,Cold
2023-12-02,23,13,18.0,0,Cold
2023-12-03,22,12,17.0,0,Cold
